horizon_months,ticker,strategy,strategy_label,events,successes,probability_pct,confidence_95_low_pct,confidence_95_high_pct,familywise_confidence_low_pct,familywise_confidence_high_pct,median_return_pct,average_return_pct,quartile_25_return_pct,worst_return_pct,best_return_pct,qualifies
1,DIA,bollinger_recovery,Bollinger Recovery,29,0,0.0,0.0,11.7,0.0,40.24,1.57,1.18,-0.52,-9.66,7.69,False
1,DIA,breadth_trend,Broad-Market Trend,163,1,0.61,0.11,3.39,0.03,11.77,1.21,0.96,-1.14,-7.76,11.28,False
1,DIA,buy_hold,Buy & Hold Benchmark,217,3,1.38,0.47,3.99,0.16,10.63,1.39,0.96,-1.43,-12.98,13.29,False
1,DIA,drawdown_recovery,25% Drawdown Recovery,1,0,0.0,0.0,79.35,0.0,95.13,7.69,7.69,7.69,7.69,7.69,False
1,DIA,drawdown_recovery_20,20% Drawdown Recovery,12,0,0.0,0.0,24.25,0.0,61.94,1.85,0.7,-2.55,-12.01,7.69,False
1,DIA,drawdown_recovery_30,30% Drawdown Recovery,8,0,0.0,0.0,32.44,0.0,70.94,1.85,0.82,-0.44,-12.01,7.69,False
1,DIA,drawdown_recovery_40,40% Drawdown Recovery,4,0,0.0,0.0,48.99,0.0,83.0,-1.11,-1.92,-4.83,-12.01,6.53,False
1,DIA,low_vol_trend,Low-Volatility Trend,172,1,0.58,0.1,3.22,0.03,11.21,1.37,0.94,-1.09,-9.66,11.28,False
1,DIA,momentum,Top Relative Momentum 180,7,0,0.0,0.0,35.43,0.0,73.61,2.43,1.07,-0.93,-4.74,5.44,False
1,DIA,momentum_180,180-Day Absolute Momentum,177,0,0.0,0.0,2.12,0.0,9.94,1.27,0.8,-1.35,-9.66,9.64,False
1,DIA,momentum_270,270-Day Absolute Momentum,184,2,1.09,0.3,3.88,0.09,11.47,1.32,1.04,-1.26,-9.66,11.28,False
1,DIA,momentum_365,365-Day Absolute Momentum,189,2,1.06,0.29,3.78,0.09,11.19,1.27,0.95,-1.43,-10.29,11.28,False
1,DIA,momentum_90,90-Day Absolute Momentum,165,1,0.61,0.11,3.35,0.03,11.64,1.21,0.8,-1.35,-10.29,11.28,False
1,DIA,momentum_composite,Composite Momentum,9,0,0.0,0.0,29.92,0.0,68.45,1.43,0.31,0.87,-9.66,5.44,False
1,DIA,momentum_dual_180_365,Dual Momentum 180/365,166,0,0.0,0.0,2.26,0.0,10.52,1.18,0.67,-1.44,-9.66,9.64,False
1,DIA,momentum_dual_90_180,Dual Momentum 90/180,154,0,0.0,0.0,2.43,0.0,11.25,1.18,0.72,-1.2,-9.66,7.86,False
1,DIA,momentum_rank_365,Top Relative Momentum 365,4,0,0.0,0.0,48.99,0.0,83.0,0.38,-0.4,-3.44,-9.66,7.31,False
1,DIA,momentum_rank_90,Top Relative Momentum 90,8,0,0.0,0.0,32.44,0.0,70.94,-0.24,0.09,-2.55,-4.74,5.44,False
1,DIA,rsi14_recovery,RSI 14 Recovery,40,0,0.0,0.0,8.76,0.0,32.8,0.81,0.37,-2.23,-12.01,9.32,False
1,DIA,rsi28_recovery,RSI 28 Recovery,24,0,0.0,0.0,13.8,0.0,44.86,1.36,0.91,-0.64,-9.66,7.69,False
1,DIA,trend,SMA 50/200 + Momentum,75,0,0.0,0.0,4.87,0.0,20.66,1.57,0.66,-0.88,-7.76,7.13,False
1,DIA,trend_breakout_100,100-Day Range Breakout,25,0,0.0,0.0,13.32,0.0,43.85,0.3,-0.35,-3.71,-6.47,4.0,False
1,DIA,trend_breakout_200,200-Day Range Breakout,22,0,0.0,0.0,14.87,0.0,47.02,0.61,-0.37,-3.43,-6.47,4.0,False
1,DIA,trend_ema100_200,EMA 100/200,173,0,0.0,0.0,2.17,0.0,10.14,1.21,0.71,-1.36,-9.66,7.13,False
1,DIA,trend_ema50_200,EMA 50/200,175,0,0.0,0.0,2.15,0.0,10.04,1.15,0.74,-1.35,-9.66,9.32,False
1,DIA,trend_price_sma100,Price above SMA 100,158,0,0.0,0.0,2.37,0.0,11.0,1.28,0.72,-1.28,-10.29,9.32,False
1,DIA,trend_price_sma200,Price above SMA 200,175,1,0.57,0.1,3.17,0.03,11.04,1.35,0.95,-1.14,-9.66,11.28,False
1,DIA,trend_sma100_200,SMA 100/200,156,1,0.64,0.11,3.54,0.03,12.23,1.18,0.77,-1.35,-9.66,11.28,False
1,DIA,trend_triple_ma,Triple Moving Average,103,0,0.0,0.0,3.6,0.0,15.94,1.39,0.58,-1.2,-6.47,5.44,False
1,DIA,vol_contraction_trend,Volatility Contraction Trend,55,0,0.0,0.0,6.53,0.0,26.2,1.44,1.25,-0.58,-5.9,9.32,False
1,IWM,bollinger_recovery,Bollinger Recovery,22,1,4.55,0.81,21.8,0.21,51.63,1.63,2.09,-0.84,-4.41,11.96,False
1,IWM,breadth_trend,Broad-Market Trend,155,5,3.23,1.39,7.33,0.57,16.35,0.81,0.77,-2.07,-9.91,17.27,False
1,IWM,buy_hold,Buy & Hold Benchmark,217,13,5.99,3.53,9.98,1.9,17.35,1.21,0.96,-2.19,-17.61,19.84,False
1,IWM,drawdown_recovery,25% Drawdown Recovery,7,1,14.29,2.57,51.31,0.67,80.48,3.75,4.68,1.7,-0.68,11.96,False
1,IWM,drawdown_recovery_20,20% Drawdown Recovery,29,2,6.9,1.91,21.96,0.59,47.89,2.02,1.25,-1.69,-13.82,11.96,False
1,IWM,drawdown_recovery_30,30% Drawdown Recovery,13,2,15.38,4.33,42.24,1.33,71.0,-0.6,0.88,-2.07,-10.81,11.96,False
1,IWM,drawdown_recovery_40,40% Drawdown Recovery,7,1,14.29,2.57,51.31,0.67,80.48,1.38,1.53,-1.15,-10.81,11.96,False
1,IWM,low_vol_trend,Low-Volatility Trend,9,1,11.11,1.99,43.5,0.52,74.94,0.79,2.21,0.55,-4.85,11.49,False
1,IWM,momentum,Top Relative Momentum 180,46,3,6.52,2.24,17.5,0.78,38.17,0.92,0.79,-2.19,-13.82,11.81,False
1,IWM,momentum_180,180-Day Absolute Momentum,156,5,3.21,1.38,7.28,0.56,16.26,0.92,0.86,-2.07,-9.91,11.81,False
1,IWM,momentum_270,270-Day Absolute Momentum,158,6,3.8,1.75,8.04,0.75,17.0,0.84,0.77,-2.09,-13.97,19.84,False
1,IWM,momentum_365,365-Day Absolute Momentum,168,5,2.98,1.28,6.78,0.52,15.22,0.87,0.65,-2.08,-13.97,17.27,False
1,IWM,momentum_90,90-Day Absolute Momentum,154,6,3.9,1.8,8.24,0.77,17.39,0.92,0.66,-2.09,-13.82,17.27,False
1,IWM,momentum_composite,Composite Momentum,47,2,4.26,1.17,14.25,0.37,35.0,0.74,0.62,-2.12,-9.91,10.62,False
1,IWM,momentum_dual_180_365,Dual Momentum 180/365,139,4,2.88,1.12,7.17,0.43,16.94,0.89,0.8,-2.06,-9.91,11.81,False
1,IWM,momentum_dual_90_180,Dual Momentum 90/180,132,5,3.79,1.63,8.56,0.66,18.82,0.9,0.66,-2.07,-9.91,11.81,False
1,IWM,momentum_rank_365,Top Relative Momentum 365,41,0,0.0,0.0,8.57,0.0,32.26,0.6,0.2,-2.07,-8.95,9.25,False
1,IWM,momentum_rank_90,Top Relative Momentum 90,49,1,2.04,0.36,10.69,0.1,31.32,0.55,0.19,-1.69,-13.82,10.62,False
1,IWM,rsi14_recovery,RSI 14 Recovery,40,1,2.5,0.44,12.88,0.12,36.05,1.5,1.43,-1.65,-10.81,11.96,False
1,IWM,rsi28_recovery,RSI 28 Recovery,16,1,6.25,1.11,28.33,0.29,60.3,3.32,1.85,-2.03,-10.81,11.96,False
1,IWM,trend,SMA 50/200 + Momentum,77,4,5.19,2.04,12.61,0.78,27.74,0.46,0.5,-2.1,-9.91,11.81,False
1,IWM,trend_breakout_100,100-Day Range Breakout,22,1,4.55,0.81,21.8,0.21,51.63,-0.75,-1.03,-4.54,-9.36,11.49,False
1,IWM,trend_breakout_200,200-Day Range Breakout,18,0,0.0,0.0,17.59,0.0,52.03,-0.75,-1.26,-4.54,-6.37,3.75,False
1,IWM,trend_ema100_200,EMA 100/200,148,5,3.38,1.45,7.66,0.59,17.03,0.75,0.48,-2.19,-10.74,17.27,False
1,IWM,trend_ema50_200,EMA 50/200,151,5,3.31,1.42,7.52,0.58,16.73,0.74,0.5,-2.19,-10.74,17.27,False
1,IWM,trend_price_sma100,Price above SMA 100,156,5,3.21,1.38,7.28,0.56,16.26,0.84,0.55,-2.08,-13.82,17.27,False
1,IWM,trend_price_sma200,Price above SMA 200,159,6,3.77,1.74,7.99,0.75,16.91,0.79,0.65,-2.12,-13.82,17.27,False
1,IWM,trend_sma100_200,SMA 100/200,139,5,3.6,1.55,8.14,0.63,18.0,0.66,0.32,-2.19,-13.82,17.27,False
1,IWM,trend_triple_ma,Triple Moving Average,81,1,1.23,0.22,6.67,0.06,21.36,-0.12,0.04,-2.19,-8.95,10.62,False
1,IWM,vol_contraction_trend,Volatility Contraction Trend,42,3,7.14,2.46,19.01,0.86,40.63,0.54,1.02,-1.68,-9.9,11.79,False
1,QQQ,bollinger_recovery,Bollinger Recovery,22,2,9.09,2.53,27.82,0.78,55.87,1.77,1.84,-2.51,-12.09,11.6,False
1,QQQ,breadth_trend,Broad-Market Trend,159,3,1.89,0.64,5.4,0.23,14.07,1.22,1.27,-1.56,-9.66,12.45,False
1,QQQ,buy_hold,Buy & Hold Benchmark,217,12,5.53,3.19,9.42,1.68,16.72,1.54,1.46,-1.9,-19.36,17.76,False
1,QQQ,drawdown_recovery,25% Drawdown Recovery,6,0,0.0,0.0,39.03,0.0,76.5,2.8,2.34,-1.3,-5.18,9.92,False
1,QQQ,drawdown_recovery_20,20% Drawdown Recovery,24,1,4.17,0.74,20.24,0.19,49.26,1.68,1.62,-1.22,-9.84,12.29,False
1,QQQ,drawdown_recovery_30,30% Drawdown Recovery,11,0,0.0,0.0,25.88,0.0,63.97,-0.51,-0.14,-1.99,-9.84,8.28,False
1,QQQ,drawdown_recovery_40,40% Drawdown Recovery,5,0,0.0,0.0,43.45,0.0,79.61,4.6,3.33,0.05,-2.07,8.28,False
1,QQQ,low_vol_trend,Low-Volatility Trend,38,1,2.63,0.47,13.5,0.12,37.3,3.28,2.46,-0.75,-5.88,12.29,False
1,QQQ,momentum,Top Relative Momentum 180,87,2,2.3,0.63,8.0,0.2,21.89,1.98,1.6,-1.69,-9.66,12.45,False
1,QQQ,momentum_180,180-Day Absolute Momentum,175,5,2.86,1.23,6.51,0.5,14.68,1.44,1.47,-1.61,-12.09,15.28,False
1,QQQ,momentum_270,270-Day Absolute Momentum,189,8,4.23,2.16,8.13,1.01,16.02,1.7,1.62,-1.63,-12.09,16.59,False
1,QQQ,momentum_365,365-Day Absolute Momentum,189,8,4.23,2.16,8.13,1.01,16.02,1.56,1.4,-1.79,-19.36,16.59,False
1,QQQ,momentum_90,90-Day Absolute Momentum,167,5,2.99,1.29,6.82,0.52,15.31,1.47,1.41,-1.53,-9.66,12.68,False
1,QQQ,momentum_composite,Composite Momentum,88,2,2.27,0.63,7.91,0.19,21.68,1.46,1.09,-1.92,-9.66,12.45,False
1,QQQ,momentum_dual_180_365,Dual Momentum 180/365,162,5,3.09,1.33,7.02,0.54,15.73,1.22,1.26,-1.75,-12.09,15.28,False
1,QQQ,momentum_dual_90_180,Dual Momentum 90/180,155,3,1.94,0.66,5.54,0.23,14.4,1.22,1.21,-1.61,-9.66,12.45,False
1,QQQ,momentum_rank_365,Top Relative Momentum 365,89,7,7.87,3.86,15.36,1.74,29.15,2.49,2.08,-1.59,-9.66,16.59,False
1,QQQ,momentum_rank_90,Top Relative Momentum 90,77,3,3.9,1.33,10.84,0.47,25.98,1.44,1.32,-1.97,-9.53,12.68,False
1,QQQ,rsi14_recovery,RSI 14 Recovery,32,2,6.25,1.73,20.15,0.54,45.12,0.65,0.66,-3.28,-12.09,11.6,False
1,QQQ,rsi28_recovery,RSI 28 Recovery,13,0,0.0,0.0,22.81,0.0,60.03,0.3,-0.67,-4.72,-12.09,9.92,False
1,QQQ,trend,SMA 50/200 + Momentum,101,3,2.97,1.02,8.37,0.36,20.82,1.22,1.12,-1.85,-9.66,12.45,False
1,QQQ,trend_breakout_100,100-Day Range Breakout,29,1,3.45,0.61,17.18,0.16,44.2,0.42,0.63,-1.9,-9.53,10.07,False
1,QQQ,trend_breakout_200,200-Day Range Breakout,23,1,4.35,0.77,20.99,0.2,50.42,1.22,1.13,-1.42,-5.99,10.07,False
1,QQQ,trend_ema100_200,EMA 100/200,169,3,1.78,0.61,5.09,0.21,13.33,1.47,1.34,-1.53,-12.09,12.45,False
1,QQQ,trend_ema50_200,EMA 50/200,169,3,1.78,0.61,5.09,0.21,13.33,1.44,1.34,-1.53,-9.66,12.45,False
1,QQQ,trend_price_sma100,Price above SMA 100,166,3,1.81,0.62,5.18,0.22,13.54,1.41,1.22,-1.57,-9.84,12.29,False
1,QQQ,trend_price_sma200,Price above SMA 200,174,4,2.3,0.9,5.76,0.34,13.88,1.41,1.4,-1.53,-9.66,12.68,False
1,QQQ,trend_sma100_200,SMA 100/200,153,4,2.61,1.02,6.53,0.39,15.57,1.47,1.52,-1.53,-9.66,12.68,False
1,QQQ,trend_triple_ma,Triple Moving Average,97,2,2.06,0.57,7.21,0.18,20.01,1.56,1.21,-1.79,-8.36,12.29,False
1,QQQ,vol_contraction_trend,Volatility Contraction Trend,44,1,2.27,0.4,11.81,0.11,33.78,2.56,1.99,-0.72,-9.53,12.29,False
1,SPY,bollinger_recovery,Bollinger Recovery,22,0,0.0,0.0,14.87,0.0,47.02,2.7,1.52,0.11,-8.59,8.33,False
1,SPY,breadth_trend,Broad-Market Trend,166,1,0.6,0.11,3.33,0.03,11.57,1.33,1.0,-0.97,-8.59,10.98,False
1,SPY,buy_hold,Buy & Hold Benchmark,217,3,1.38,0.47,3.99,0.16,10.63,1.48,1.07,-1.28,-13.24,14.79,False
1,SPY,drawdown_recovery,25% Drawdown Recovery,2,0,0.0,0.0,65.76,0.0,90.71,7.84,7.84,7.78,7.73,7.95,False
1,SPY,drawdown_recovery_20,20% Drawdown Recovery,12,0,0.0,0.0,24.25,0.0,61.94,1.59,1.0,-2.57,-11.27,8.69,False
1,SPY,drawdown_recovery_30,30% Drawdown Recovery,9,0,0.0,0.0,29.92,0.0,68.45,1.97,1.48,-0.72,-11.27,7.95,False
1,SPY,drawdown_recovery_40,40% Drawdown Recovery,4,0,0.0,0.0,48.99,0.0,83.0,-1.42,-1.59,-4.41,-11.27,7.73,False
1,SPY,low_vol_trend,Low-Volatility Trend,173,1,0.58,0.1,3.2,0.03,11.15,1.28,0.92,-0.98,-10.0,10.98,False
1,SPY,momentum,Top Relative Momentum 180,3,0,0.0,0.0,56.15,0.0,86.68,3.07,3.19,1.98,0.9,5.61,False
1,SPY,momentum_180,180-Day Absolute Momentum,182,0,0.0,0.0,2.07,0.0,9.69,1.44,1.11,-0.96,-10.0,9.88,False
1,SPY,momentum_270,270-Day Absolute Momentum,185,2,1.08,0.3,3.86,0.09,11.41,1.56,1.2,-0.98,-10.0,12.69,False
1,SPY,momentum_365,365-Day Absolute Momentum,187,1,0.53,0.09,2.97,0.02,10.4,1.56,1.05,-1.23,-10.0,10.98,False
1,SPY,momentum_90,90-Day Absolute Momentum,168,1,0.6,0.11,3.29,0.03,11.45,1.31,0.96,-1.16,-8.8,10.98,False
1,SPY,momentum_composite,Composite Momentum,5,0,0.0,0.0,43.45,0.0,79.61,3.07,2.82,1.57,0.9,5.3,False
1,SPY,momentum_dual_180_365,Dual Momentum 180/365,168,0,0.0,0.0,2.24,0.0,10.41,1.52,1.02,-0.98,-10.0,9.88,False
1,SPY,momentum_dual_90_180,Dual Momentum 90/180,161,0,0.0,0.0,2.33,0.0,10.82,1.33,1.0,-0.97,-8.43,8.69,False
1,SPY,momentum_rank_365,Top Relative Momentum 365,5,0,0.0,0.0,43.45,0.0,79.61,1.57,1.68,-0.1,-3.11,5.3,False
1,SPY,rsi14_recovery,RSI 14 Recovery,40,0,0.0,0.0,8.76,0.0,32.8,2.41,1.35,-0.1,-11.27,8.33,False
1,SPY,rsi28_recovery,RSI 28 Recovery,17,0,0.0,0.0,18.43,0.0,53.46,2.93,1.29,0.12,-12.2,8.33,False
1,SPY,trend,SMA 50/200 + Momentum,77,0,0.0,0.0,4.75,0.0,20.23,1.33,0.48,-1.53,-8.43,6.54,False
1,SPY,trend_breakout_100,100-Day Range Breakout,30,0,0.0,0.0,11.35,0.0,39.43,1.76,0.76,-1.33,-5.77,5.16,False
1,SPY,trend_breakout_200,200-Day Range Breakout,29,0,0.0,0.0,11.7,0.0,40.24,1.95,0.77,-1.53,-5.77,5.16,False
1,SPY,trend_ema100_200,EMA 100/200,172,1,0.58,0.1,3.22,0.03,11.21,1.31,0.92,-1.0,-10.0,10.98,False
1,SPY,trend_ema50_200,EMA 50/200,173,1,0.58,0.1,3.2,0.03,11.15,1.33,0.93,-1.07,-10.0,10.98,False
