horizon_months,rank,strategy,label,family,asset_events,asset_successes,asset_probability_pct,independent_market_episodes,independent_events,successes,empirical_probability,probability_pct,confidence_95_low_pct,confidence_95_high_pct,familywise_confidence_low_pct,familywise_confidence_high_pct,median_net_return_pct,quartile_25_net_return_pct,worst_net_return_pct,worst_drawdown_pct,qualifies
1,1,drawdown_recovery_40,40% Drawdown Recovery,reversal,69,7,10.14,20,20,4,0.2,20.0,8.07,41.6,3.77,61.46,0.43,-2.07,-17.15,-21.09,False
1,2,rsi28_recovery,RSI 28 Recovery,reversal,273,12,4.4,81,81,5,0.06172839506172839,6.17,2.67,13.65,1.33,24.34,1.26,-1.25,-27.11,-36.18,False
1,3,drawdown_recovery_30,30% Drawdown Recovery,reversal,132,11,8.33,35,35,2,0.05714285714285714,5.71,1.58,18.61,0.63,36.77,1.2,-1.91,-17.15,-21.09,False
1,4,drawdown_recovery,25% Drawdown Recovery,reversal,68,5,7.35,21,21,1,0.047619047619047616,4.76,0.85,22.67,0.29,46.21,2.91,-1.17,-15.77,-21.09,False
1,5,momentum_rank_90,Top Relative Momentum 90,momentum,650,22,3.38,208,208,4,0.019230769230769232,1.92,0.75,4.84,0.35,9.77,0.97,-1.98,-17.28,-22.57,False
1,6,drawdown_recovery_20,20% Drawdown Recovery,reversal,248,14,5.65,59,59,1,0.01694915254237288,1.69,0.3,9.0,0.1,22.36,1.83,-1.71,-17.15,-21.09,False
1,7,momentum_rank_365,Top Relative Momentum 365,momentum,636,23,3.62,206,206,3,0.014563106796116505,1.46,0.5,4.19,0.22,9.09,1.27,-1.7,-20.95,-22.57,False
1,8,rsi14_recovery,RSI 14 Recovery,reversal,565,14,2.48,140,140,2,0.014285714285714285,1.43,0.39,5.06,0.16,11.83,1.45,-1.53,-27.11,-36.18,False
1,9,buy_hold,Buy & Hold Benchmark,benchmark,3038,113,3.72,217,217,3,0.013824884792626729,1.38,0.47,3.99,0.21,8.66,1.24,-1.78,-27.11,-43.09,False
1,10,bollinger_recovery,Bollinger Recovery,reversal,354,11,3.11,95,95,1,0.010526315789473684,1.05,0.19,5.72,0.06,15.02,1.45,-1.22,-27.11,-36.18,False
1,11,momentum,Top Relative Momentum 180,momentum,606,19,3.14,202,202,2,0.009900990099009901,0.99,0.27,3.54,0.11,8.44,1.08,-1.79,-17.28,-22.57,False
1,12,momentum_270,270-Day Absolute Momentum,momentum,2463,65,2.64,205,205,2,0.00975609756097561,0.98,0.27,3.49,0.11,8.33,1.17,-1.5,-20.95,-22.57,False
1,13,momentum_90,90-Day Absolute Momentum,momentum,2229,47,2.11,208,208,2,0.009615384615384616,0.96,0.26,3.44,0.11,8.22,1.1,-1.61,-17.28,-22.57,False
1,14,vol_contraction_trend,Volatility Contraction Trend,risk,652,11,1.69,111,111,1,0.009009009009009009,0.9,0.16,4.93,0.05,13.1,1.12,-1.12,-14.14,-16.13,False
1,15,trend,SMA 50/200 + Momentum,trend,1099,17,1.55,183,183,1,0.00546448087431694,0.55,0.1,3.03,0.03,8.33,0.95,-1.86,-17.28,-22.57,False
1,16,momentum_composite,Composite Momentum,momentum,603,14,2.32,197,197,1,0.005076142131979695,0.51,0.09,2.82,0.03,7.78,0.92,-1.93,-17.28,-22.57,False
1,17,trend_ema100_200,EMA 100/200,trend,2271,38,1.67,202,202,1,0.0049504950495049506,0.5,0.09,2.75,0.03,7.6,1.05,-1.51,-17.28,-22.57,False
1,18,momentum_365,365-Day Absolute Momentum,momentum,2528,59,2.33,206,206,1,0.0048543689320388345,0.49,0.09,2.7,0.03,7.46,1.19,-1.54,-20.95,-22.57,False
1,19,trend_ema50_200,EMA 50/200,trend,2295,40,1.74,204,204,1,0.004901960784313725,0.49,0.09,2.72,0.03,7.53,1.05,-1.51,-17.28,-22.57,False
1,20,momentum_dual_180_365,Dual Momentum 180/365,momentum,2187,36,1.65,203,203,1,0.0049261083743842365,0.49,0.09,2.74,0.03,7.56,1.08,-1.49,-17.28,-22.57,False
1,21,trend_price_sma100,Price above SMA 100,trend,2225,37,1.66,208,208,1,0.004807692307692308,0.48,0.08,2.67,0.03,7.39,1.1,-1.59,-17.28,-22.57,False
1,22,momentum_180,180-Day Absolute Momentum,momentum,2378,40,1.68,207,207,1,0.004830917874396135,0.48,0.09,2.69,0.03,7.43,1.14,-1.44,-17.28,-22.57,False
1,23,trend_price_sma200,Price above SMA 200,trend,2352,45,1.91,206,206,0,0.0,0.0,0.0,1.83,0.0,6.58,1.09,-1.45,-17.28,-22.57,False
1,24,low_vol_trend,Low-Volatility Trend,risk,1254,14,1.12,205,205,0,0.0,0.0,0.0,1.84,0.0,6.61,1.06,-1.29,-14.14,-15.97,False
1,25,trend_sma100_200,SMA 100/200,trend,2061,41,1.99,204,204,0,0.0,0.0,0.0,1.85,0.0,6.64,1.01,-1.55,-17.28,-22.57,False
1,26,momentum_dual_90_180,Dual Momentum 90/180,momentum,2033,31,1.52,200,200,0,0.0,0.0,0.0,1.88,0.0,6.77,1.07,-1.51,-17.28,-22.57,False
1,27,trend_triple_ma,Triple Moving Average,trend,1259,13,1.03,182,182,0,0.0,0.0,0.0,2.07,0.0,7.39,0.87,-1.66,-17.28,-22.57,False
1,28,breadth_trend,Broad-Market Trend,risk,2166,36,1.66,167,167,0,0.0,0.0,0.0,2.25,0.0,8.0,1.06,-1.44,-13.09,-18.42,False
1,29,trend_breakout_100,100-Day Range Breakout,trend,349,4,1.15,105,105,0,0.0,0.0,0.0,3.53,0.0,12.15,0.63,-2.26,-10.4,-15.03,False
1,30,trend_breakout_200,200-Day Range Breakout,trend,301,3,1.0,90,90,0,0.0,0.0,0.0,4.09,0.0,13.89,0.63,-2.32,-10.4,-15.03,False
2,1,drawdown_recovery_30,30% Drawdown Recovery,reversal,95,24,25.26,27,27,5,0.18518518518518517,18.52,8.18,36.7,4.06,55.0,5.48,-0.27,-32.97,-39.34,False
2,2,drawdown_recovery_40,40% Drawdown Recovery,reversal,47,10,21.28,12,12,2,0.16666666666666666,16.67,4.7,44.8,1.85,67.98,5.55,2.85,-32.97,-35.58,False
2,3,drawdown_recovery_20,20% Drawdown Recovery,reversal,183,31,16.94,38,38,4,0.10526315789473684,10.53,4.17,24.13,1.96,40.92,3.98,-0.84,-32.97,-40.06,False
2,4,rsi28_recovery,RSI 28 Recovery,reversal,266,33,12.41,60,60,6,0.1,10.0,4.66,20.15,2.43,33.16,2.22,-1.59,-45.68,-45.58,False
2,5,drawdown_recovery,25% Drawdown Recovery,reversal,58,12,20.69,15,15,1,0.06666666666666667,6.67,1.19,29.82,0.41,55.55,4.16,0.83,-24.56,-27.0,False
2,6,buy_hold,Buy & Hold Benchmark,benchmark,1582,156,9.86,113,113,7,0.061946902654867256,6.19,3.03,12.24,1.64,20.72,1.97,-2.0,-39.21,-56.43,False
2,7,momentum_rank_365,Top Relative Momentum 365,momentum,380,42,11.05,105,105,6,0.05714285714285714,5.71,2.64,11.91,1.38,20.81,2.02,-3.04,-33.13,-44.97,False
2,8,momentum_composite,Composite Momentum,momentum,389,33,8.48,105,105,6,0.05714285714285714,5.71,2.64,11.91,1.38,20.81,2.0,-2.89,-21.04,-36.07,False
2,9,momentum_rank_90,Top Relative Momentum 90,momentum,419,47,11.22,107,107,6,0.056074766355140186,5.61,2.6,11.7,1.35,20.47,1.97,-2.79,-21.04,-31.15,False
2,10,momentum_365,365-Day Absolute Momentum,momentum,1350,105,7.78,105,105,4,0.0380952380952381,3.81,1.49,9.39,0.7,18.14,1.78,-2.13,-33.13,-44.97,False
2,11,momentum,Top Relative Momentum 180,momentum,403,37,9.18,106,106,4,0.03773584905660377,3.77,1.48,9.3,0.7,17.99,2.14,-2.78,-27.07,-40.06,False
2,12,momentum_270,270-Day Absolute Momentum,momentum,1325,108,8.15,107,107,4,0.037383177570093455,3.74,1.46,9.22,0.69,17.84,1.93,-1.91,-33.13,-44.97,False
2,13,trend_ema100_200,EMA 100/200,trend,1262,86,6.81,107,107,4,0.037383177570093455,3.74,1.46,9.22,0.69,17.84,1.77,-1.9,-29.74,-42.86,False
2,14,trend_ema50_200,EMA 50/200,trend,1272,80,6.29,109,109,4,0.03669724770642202,3.67,1.44,9.06,0.68,17.55,1.87,-1.83,-29.74,-42.86,False
2,15,trend_sma100_200,SMA 100/200,trend,1155,73,6.32,109,109,4,0.03669724770642202,3.67,1.44,9.06,0.68,17.55,1.87,-1.87,-29.74,-42.86,False
2,16,trend_price_sma200,Price above SMA 200,trend,1320,88,6.67,110,110,4,0.03636363636363636,3.64,1.42,8.98,0.67,17.41,2.02,-1.72,-30.44,-42.86,False
2,17,momentum_90,90-Day Absolute Momentum,momentum,1267,89,7.02,110,110,4,0.03636363636363636,3.64,1.42,8.98,0.67,17.41,1.9,-1.81,-29.74,-42.86,False
2,18,rsi14_recovery,RSI 14 Recovery,reversal,483,39,8.07,90,90,3,0.03333333333333333,3.33,1.14,9.35,0.5,19.13,2.24,-1.81,-45.68,-45.58,False
2,19,breadth_trend,Broad-Market Trend,risk,1244,85,6.83,94,94,3,0.031914893617021274,3.19,1.09,8.97,0.48,18.43,2.11,-1.39,-30.44,-42.86,False
2,20,trend_triple_ma,Triple Moving Average,trend,851,35,4.11,100,100,3,0.03,3.0,1.03,8.45,0.45,17.47,1.44,-1.89,-21.04,-26.04,False
2,21,trend,SMA 50/200 + Momentum,trend,708,45,6.36,102,102,3,0.029411764705882353,2.94,1.01,8.29,0.44,17.17,1.8,-1.67,-22.51,-36.7,False
2,22,trend_breakout_200,200-Day Range Breakout,trend,267,9,3.37,68,68,2,0.029411764705882353,2.94,0.81,10.1,0.32,22.12,1.4,-1.48,-11.68,-16.45,False
2,23,vol_contraction_trend,Volatility Contraction Trend,risk,524,38,7.25,72,72,2,0.027777777777777776,2.78,0.77,9.57,0.3,21.1,1.97,-1.49,-24.73,-25.63,False
2,24,trend_breakout_100,100-Day Range Breakout,trend,308,13,4.22,77,77,2,0.025974025974025976,2.6,0.72,8.98,0.28,19.95,1.53,-1.46,-11.68,-16.45,False
2,25,momentum_dual_180_365,Dual Momentum 180/365,momentum,1203,82,6.82,104,104,2,0.019230769230769232,1.92,0.53,6.74,0.21,15.41,1.63,-2.13,-29.74,-42.86,False
2,26,momentum_dual_90_180,Dual Momentum 90/180,momentum,1169,78,6.67,107,107,2,0.018691588785046728,1.87,0.51,6.56,0.2,15.03,1.75,-1.89,-29.74,-42.86,False
2,27,momentum_180,180-Day Absolute Momentum,momentum,1315,100,7.6,108,108,2,0.018518518518518517,1.85,0.51,6.5,0.2,14.91,1.92,-1.83,-30.44,-42.86,False
2,28,trend_price_sma100,Price above SMA 100,trend,1301,82,6.3,109,109,2,0.01834862385321101,1.83,0.5,6.44,0.2,14.79,1.93,-1.83,-29.74,-42.86,False
2,29,bollinger_recovery,Bollinger Recovery,reversal,328,27,8.23,69,69,1,0.014492753623188406,1.45,0.26,7.76,0.09,19.69,2.54,-1.19,-45.68,-45.58,False
2,30,low_vol_trend,Low-Volatility Trend,risk,731,24,3.28,108,108,0,0.0,0.0,0.0,3.43,0.0,11.85,1.81,-1.39,-20.4,-36.7,False
3,1,drawdown_recovery_40,40% Drawdown Recovery,reversal,42,14,33.33,10,10,5,0.5,50.0,23.66,76.34,11.53,88.47,5.7,0.1,-17.47,-37.61,False
3,2,drawdown_recovery,25% Drawdown Recovery,reversal,55,24,43.64,13,13,4,0.3076923076923077,30.77,12.68,57.63,5.89,75.94,8.58,1.14,-14.85,-29.74,False
3,3,drawdown_recovery_30,30% Drawdown Recovery,reversal,78,27,34.62,21,21,6,0.2857142857142857,28.57,13.81,49.96,7.15,67.51,6.26,-0.4,-36.95,-48.22,False
3,4,drawdown_recovery_20,20% Drawdown Recovery,reversal,161,43,26.71,29,29,3,0.10344827586206896,10.34,3.58,26.39,1.56,45.58,5.24,-1.54,-40.08,-48.52,False
3,5,trend_breakout_100,100-Day Range Breakout,trend,279,28,10.04,59,59,6,0.1016949152542373,10.17,4.74,20.46,2.47,33.6,3.11,-1.11,-27.69,-36.86,False
3,6,momentum_rank_90,Top Relative Momentum 90,momentum,353,49,13.88,80,80,8,0.1,10.0,5.15,18.51,2.88,29.41,2.14,-2.83,-35.07,-46.32,False
3,7,rsi28_recovery,RSI 28 Recovery,reversal,259,48,18.53,52,52,5,0.09615384615384616,9.62,4.18,20.61,2.08,34.78,4.13,-0.33,-42.96,-51.18,False
3,8,rsi14_recovery,RSI 14 Recovery,reversal,440,66,15.0,70,70,6,0.08571428571428572,8.57,3.99,17.47,2.08,29.3,3.63,-0.7,-24.72,-51.18,False
3,9,bollinger_recovery,Bollinger Recovery,reversal,317,51,16.09,59,59,5,0.0847457627118644,8.47,3.67,18.35,1.83,31.52,3.83,-0.18,-25.81,-51.18,False
3,10,buy_hold,Buy & Hold Benchmark,benchmark,1218,178,14.61,87,87,7,0.08045977011494253,8.05,3.95,15.69,2.14,25.95,3.44,-1.02,-47.06,-58.2,False
