strategy,label,family,asset_events,asset_successes,asset_probability_pct,independent_market_episodes,independent_events,successes,empirical_probability,probability_pct,confidence_95_low_pct,confidence_95_high_pct,familywise_confidence_low_pct,familywise_confidence_high_pct,median_net_return_pct,quartile_25_net_return_pct,worst_net_return_pct,worst_drawdown_pct,qualifies
bollinger_recovery,Bollinger Recovery,reversal,15,12,80.0,4,4,4,1.0,100.0,51.01,100.0,28.81,100.0,92.26,31.16,-42.05,-71.78,False
rsi14_recovery,RSI 14 Recovery,reversal,36,23,63.89,4,4,3,0.75,75.0,30.06,95.44,16.56,97.84,56.03,-28.22,-66.76,-82.99,False
buy_hold,Buy & Hold Benchmark,benchmark,50,31,62.0,5,5,3,0.6,60.0,23.07,88.24,12.89,93.83,49.13,-21.01,-81.34,-82.93,False
momentum_180,180-Day Absolute Momentum,momentum,46,28,60.87,5,5,4,0.8,80.0,37.55,96.38,21.87,98.28,34.55,-31.67,-81.34,-84.68,False
momentum_dual_90_180,Dual Momentum 90/180,momentum,43,26,60.47,5,5,3,0.6,60.0,23.07,88.24,12.89,93.83,26.37,-36.21,-81.34,-84.68,False
trend_price_sma100,Price above SMA 100,trend,48,28,58.33,5,5,4,0.8,80.0,37.55,96.38,21.87,98.28,28.8,-27.0,-80.86,-85.03,False
momentum_270,270-Day Absolute Momentum,momentum,48,28,58.33,5,5,4,0.8,80.0,37.55,96.38,21.87,98.28,35.77,-37.57,-81.34,-82.93,False
breadth_trend,Broad-Market Trend,risk,48,28,58.33,5,5,3,0.6,60.0,23.07,88.24,12.89,93.83,34.98,-43.78,-79.82,-85.03,False
trend_ema50_200,EMA 50/200,trend,43,25,58.14,5,5,4,0.8,80.0,37.55,96.38,21.87,98.28,37.55,-36.99,-81.34,-82.99,False
momentum_90,90-Day Absolute Momentum,momentum,50,29,58.0,5,5,3,0.6,60.0,23.07,88.24,12.89,93.83,29.64,-35.77,-81.34,-82.99,False
trend_sma100_200,SMA 100/200,trend,45,26,57.78,5,5,4,0.8,80.0,37.55,96.38,21.87,98.28,26.37,-42.42,-81.34,-84.68,False
trend_breakout_200,200-Day Range Breakout,trend,14,8,57.14,3,3,3,1.0,100.0,43.85,100.0,23.28,100.0,57.86,-12.49,-66.86,-69.28,False
momentum_composite,Composite Momentum,momentum,30,17,56.67,5,5,3,0.6,60.0,23.07,88.24,12.89,93.83,44.56,-31.13,-79.83,-83.14,False
trend_price_sma200,Price above SMA 200,trend,48,27,56.25,5,5,4,0.8,80.0,37.55,96.38,21.87,98.28,30.43,-37.87,-81.34,-85.03,False
momentum_rank_90,Top Relative Momentum 90,momentum,38,21,55.26,5,5,4,0.8,80.0,37.55,96.38,21.87,98.28,24.12,-34.68,-80.86,-84.68,False
momentum_dual_180_365,Dual Momentum 180/365,momentum,42,23,54.76,5,5,4,0.8,80.0,37.55,96.38,21.87,98.28,28.46,-46.76,-81.34,-84.68,False
drawdown_recovery_20,20% Drawdown Recovery,reversal,46,25,54.35,5,5,4,0.8,80.0,37.55,96.38,21.87,98.28,19.52,-38.7,-66.76,-83.26,False
trend_triple_ma,Triple Moving Average,trend,35,19,54.29,5,5,3,0.6,60.0,23.07,88.24,12.89,93.83,40.03,-35.84,-80.86,-84.68,False
vol_contraction_trend,Volatility Contraction Trend,risk,37,20,54.05,5,5,3,0.6,60.0,23.07,88.24,12.89,93.83,15.91,-41.65,-76.13,-82.93,False
low_vol_trend,Low-Volatility Trend,risk,36,19,52.78,5,5,3,0.6,60.0,23.07,88.24,12.89,93.83,22.89,-45.26,-68.63,-84.61,False
trend_ema100_200,EMA 100/200,trend,42,21,50.0,5,5,3,0.6,60.0,23.07,88.24,12.89,93.83,13.39,-47.14,-81.34,-82.99,False
drawdown_recovery,25% Drawdown Recovery,reversal,40,20,50.0,5,5,4,0.8,80.0,37.55,96.38,21.87,98.28,13.4,-48.27,-69.64,-83.26,False
momentum_365,365-Day Absolute Momentum,momentum,47,23,48.94,5,5,4,0.8,80.0,37.55,96.38,21.87,98.28,11.64,-48.85,-81.34,-82.93,False
trend,SMA 50/200 + Momentum,trend,39,19,48.72,5,5,3,0.6,60.0,23.07,88.24,12.89,93.83,5.74,-44.82,-81.34,-84.68,False
drawdown_recovery_30,30% Drawdown Recovery,reversal,39,19,48.72,5,5,4,0.8,80.0,37.55,96.38,21.87,98.28,14.52,-38.45,-66.76,-83.26,False
momentum,Top Relative Momentum 180,momentum,33,16,48.48,5,5,3,0.6,60.0,23.07,88.24,12.89,93.83,10.36,-33.86,-81.34,-83.14,False
trend_breakout_100,100-Day Range Breakout,trend,17,8,47.06,4,4,3,0.75,75.0,30.06,95.44,16.56,97.84,10.36,-24.9,-66.86,-69.28,False
momentum_rank_365,Top Relative Momentum 365,momentum,26,11,42.31,5,5,3,0.6,60.0,23.07,88.24,12.89,93.83,4.06,-32.32,-81.34,-84.53,False
drawdown_recovery_40,40% Drawdown Recovery,reversal,37,14,37.84,5,5,4,0.8,80.0,37.55,96.38,21.87,98.28,10.36,-39.84,-68.63,-84.61,False
rsi28_recovery,RSI 28 Recovery,reversal,28,10,35.71,5,5,3,0.6,60.0,23.07,88.24,12.89,93.83,-2.27,-48.27,-70.82,-83.85,False
