ticker,binance_symbol,date,open,high,low,close,volume,quote_volume,trades
ADA/USD,ADAUSDT,2019-09-11T00:00:00+00:00,0.04641,0.04713,0.04551,0.04573,18520620.2,856096.071508,3532
ADA/USD,ADAUSDT,2019-09-11T04:00:00+00:00,0.04572,0.04579,0.04481,0.04573,17404624.0,790800.732874,3034
ADA/USD,ADAUSDT,2019-09-11T08:00:00+00:00,0.04574,0.04582,0.04519,0.04525,11655001.4,530007.378673,2011
ADA/USD,ADAUSDT,2019-09-11T12:00:00+00:00,0.04526,0.04532,0.0445,0.04462,17175737.4,771076.247679,2642
ADA/USD,ADAUSDT,2019-09-11T16:00:00+00:00,0.04462,0.04528,0.04443,0.04446,13775724.1,616774.606565,2706
ADA/USD,ADAUSDT,2019-09-11T20:00:00+00:00,0.04447,0.04504,0.04438,0.04487,7031599.6,314481.702683,1326
ADA/USD,ADAUSDT,2019-09-12T00:00:00+00:00,0.04493,0.04523,0.04452,0.0446,9514472.6,426711.238822,1668
ADA/USD,ADAUSDT,2019-09-12T04:00:00+00:00,0.0446,0.04487,0.04423,0.04433,13670255.3,608011.905707,2107
ADA/USD,ADAUSDT,2019-09-12T08:00:00+00:00,0.04433,0.04478,0.04424,0.04454,6952810.3,309082.958372,1568
ADA/USD,ADAUSDT,2019-09-12T12:00:00+00:00,0.04454,0.04539,0.04445,0.04521,12366141.5,556276.62931,1991
ADA/USD,ADAUSDT,2019-09-12T16:00:00+00:00,0.04521,0.04629,0.04484,0.046,16377603.4,747160.615633,2523
ADA/USD,ADAUSDT,2019-09-12T20:00:00+00:00,0.046,0.04628,0.04475,0.04541,14015962.0,637949.651753,2724
ADA/USD,ADAUSDT,2019-09-13T00:00:00+00:00,0.04541,0.04544,0.04485,0.04523,5741164.2,258882.970633,1245
ADA/USD,ADAUSDT,2019-09-13T04:00:00+00:00,0.04524,0.04541,0.04485,0.04508,4808233.8,216786.875696,1125
ADA/USD,ADAUSDT,2019-09-13T08:00:00+00:00,0.04504,0.0453,0.04491,0.04504,6769855.3,305225.148134,1684
ADA/USD,ADAUSDT,2019-09-13T12:00:00+00:00,0.04507,0.04548,0.04499,0.04531,5035645.3,227961.680202,1134
ADA/USD,ADAUSDT,2019-09-13T16:00:00+00:00,0.04533,0.04561,0.04495,0.04542,7920836.3,358782.177974,1624
ADA/USD,ADAUSDT,2019-09-13T20:00:00+00:00,0.04545,0.04594,0.04526,0.0457,7216195.5,328852.633998,1610
ADA/USD,ADAUSDT,2019-09-14T00:00:00+00:00,0.0457,0.04582,0.04551,0.04558,2988880.1,136553.85965,641
ADA/USD,ADAUSDT,2019-09-14T04:00:00+00:00,0.0456,0.04571,0.04468,0.04513,13909545.1,627456.728218,2553
ADA/USD,ADAUSDT,2019-09-14T08:00:00+00:00,0.04513,0.04518,0.0448,0.04512,8179722.6,367981.919962,1526
ADA/USD,ADAUSDT,2019-09-14T12:00:00+00:00,0.04512,0.04617,0.04476,0.04571,21606246.5,986836.010299,3664
ADA/USD,ADAUSDT,2019-09-14T16:00:00+00:00,0.04574,0.0471,0.04567,0.04678,30284236.0,1409703.134266,4329
ADA/USD,ADAUSDT,2019-09-14T20:00:00+00:00,0.04678,0.04704,0.04633,0.04642,5751548.5,268428.637363,1146
ADA/USD,ADAUSDT,2019-09-15T00:00:00+00:00,0.04643,0.04711,0.0461,0.04619,8150890.7,380190.935768,1559
ADA/USD,ADAUSDT,2019-09-15T04:00:00+00:00,0.04619,0.04653,0.0461,0.0464,6195843.6,286773.64093,1098
ADA/USD,ADAUSDT,2019-09-15T08:00:00+00:00,0.04641,0.04694,0.0463,0.0466,10637279.0,496216.321259,1998
ADA/USD,ADAUSDT,2019-09-15T12:00:00+00:00,0.04657,0.04685,0.04634,0.04653,9157732.9,426134.038325,1599
ADA/USD,ADAUSDT,2019-09-15T16:00:00+00:00,0.04651,0.04663,0.0461,0.04624,7124286.6,330039.27582,1327
ADA/USD,ADAUSDT,2019-09-15T20:00:00+00:00,0.04624,0.04672,0.04613,0.04664,2529909.7,117503.593105,694
ADA/USD,ADAUSDT,2019-09-16T00:00:00+00:00,0.04665,0.04749,0.04664,0.04719,14732213.1,695938.949109,2238
