"report_date_as_yyyy_mm_dd","market_and_exchange_names","commodity_name","open_interest_all","prod_merc_positions_long","prod_merc_positions_short","m_money_positions_long_all","m_money_positions_short_all"
"2006-06-13T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","849467","145893","159345","75507","65944"
"2006-06-13T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","288981","27041","117483","99739","29859"
"2006-06-13T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","78658","16371","16871","6211","6751"
"2006-06-13T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","112993","13724","36671","22510","5526"
"2006-06-13T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","8614","1296","3059","3258","3164"
"2006-06-13T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","14355","891","7083","5375","1686"
"2006-06-20T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","13681","955","7358","5138","1545"
"2006-06-20T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","288148","29230","112900","91198","30082"
"2006-06-20T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","76311","13975","17383","6238","5205"
"2006-06-20T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","112485","15658","37859","21474","6645"
"2006-06-20T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","7379","932","3319","2964","2018"
"2006-06-20T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","865701","147685","161681","71786","48843"
"2006-06-27T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","13149","881","7110","5360","2000"
"2006-06-27T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","292789","30747","110141","88635","31420"
"2006-06-27T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","73323","14155","18373","5942","5919"
"2006-06-27T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","109024","17758","35630","19656","6574"
"2006-06-27T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","8093","1046","3622","3036","1908"
"2006-06-27T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","858036","143260","156440","76342","57290"
"2006-07-03T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","13423","871","7109","5734","2040"
"2006-07-03T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","292500","29615","108909","90104","30778"
"2006-07-03T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","72880","13635","18905","6543","4784"
"2006-07-03T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","97874","12822","36061","19806","2750"
"2006-07-03T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","7338","656","3905","3058","1178"
"2006-07-03T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","849611","142862","151602","77199","57599"
"2006-07-11T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","13895","848","7413","6219","2042"
