family,instrument,asset,strategy,horizon_months,events,usd_plus_10_count,usd_plus_10_pct,rub_plus_10_pct,real_plus_10_pct,beats_deposit_pct,positive_usd_pct,median_usd_return_pct,median_rub_return_pct,median_real_return_pct,mean_usd_return_pct,worst_usd_return_pct,best_usd_return_pct,median_final_rub,first_entry,last_exit,usd_plus_10_wilson_low_pct,usd_plus_10_familywise_low_pct,formally_over_80
rotation,TAN+LIT,Top-2 resource rotation,top2_10m_momentum,12,1,1,100.0,100.0,100.0,100.0,100.0,111.14,110.49,97.02,111.14,111.14,111.14,210494.82,2020-07-31,2021-08-02,20.65,5.42,False
rotation,TAN+LIT,Top-2 resource rotation,top2_10m_momentum,8,1,1,100.0,100.0,100.0,100.0,100.0,83.36,89.21,82.43,83.36,83.36,83.36,189206.78,2020-07-31,2021-03-31,20.65,5.42,False
rotation,SLV+GLD,Top-2 resource rotation,top2_10m_momentum,12,1,1,100.0,100.0,100.0,100.0,100.0,73.2,23.65,14.3,73.2,73.2,73.2,123651.29,2024-11-29,2025-12-01,20.65,5.42,False
rotation,PPLT+SLV,Top-2 resource rotation,top2_10m_momentum,5,1,1,100.0,100.0,100.0,100.0,100.0,69.47,58.03,51.97,69.47,69.47,69.47,158030.26,2025-09-30,2026-03-02,20.65,5.42,False
rotation,TAN+PALL,Top-2 resource rotation,top2_10m_momentum,10,1,1,100.0,100.0,100.0,100.0,100.0,63.74,91.33,84.36,63.74,63.74,63.74,191332.69,2019-10-31,2020-08-31,20.65,5.42,False
rotation,SLV+WOOD,Top-2 resource rotation,top2_10m_momentum,7,1,1,100.0,100.0,100.0,100.0,100.0,61.46,46.05,35.66,61.46,61.46,61.46,146051.33,2010-09-30,2011-05-02,20.65,5.42,False
rotation,GLD+GLTR,Top-2 resource rotation,top2_10m_momentum,10,1,1,100.0,100.0,100.0,100.0,100.0,60.75,45.48,38.35,60.75,60.75,60.75,145483.87,2025-03-31,2026-02-02,20.65,5.42,False
rotation,GLD+GLTR,Top-2 resource rotation,top2_10m_momentum,11,1,1,100.0,100.0,100.0,100.0,100.0,50.49,43.56,36.14,50.49,50.49,50.49,143557.76,2025-05-30,2026-04-30,20.65,5.42,False
rotation,GLD+SLV,Top-2 resource rotation,top2_10m_momentum,11,2,2,100.0,100.0,100.0,100.0,100.0,48.71,39.3,29.47,48.71,32.89,64.53,139296.83,2009-06-30,2011-05-31,34.24,10.29,False
directional,DBB,Base metals,oversold_recovery,12,2,2,100.0,100.0,100.0,100.0,100.0,45.25,49.89,38.57,45.25,39.86,50.65,149889.36,2008-10-31,2021-03-31,34.24,10.29,False
rotation,TAN+PALL,Top-2 resource rotation,top2_10m_momentum,7,1,1,100.0,100.0,100.0,100.0,100.0,44.88,53.13,51.16,44.88,44.88,44.88,153133.8,2019-07-31,2020-03-02,20.65,5.42,False
