portfolio,portfolio_label,horizon_months,rolling_windows,effective_independent_windows,usd_plus_10_count,usd_plus_10_pct,rub_plus_10_pct,real_plus_10_pct,positive_usd_pct,beats_deposit_pct,median_usd_return_pct,median_rub_return_pct,median_real_return_pct,median_final_rub,worst_usd_return_pct,best_usd_return_pct,usd_plus_10_wilson_low_pct,usd_plus_10_familywise_low_pct,formally_over_80
top5_trend_inverse_vol,"Top-5 trends, inverse volatility",12,165,13,78,47.27,66.67,58.79,69.7,66.67,8.29,20.94,13.68,120942.19,-44.51,94.66,23.21,13.39,False
top5_trend_inverse_vol,"Top-5 trends, inverse volatility",11,166,15,75,45.18,65.66,54.22,69.88,67.47,7.62,18.62,13.07,118619.1,-43.75,87.53,24.81,14.83,False
defensive_plus_trend,50% defensive / 50% trend,12,165,13,74,44.85,66.06,53.33,70.3,66.06,6.83,17.26,10.9,117257.55,-27.53,69.37,23.21,13.39,False
top3_rotation,Top-3 resource momentum rotation,12,165,13,73,44.24,61.21,48.48,63.03,61.21,6.09,16.87,9.57,116872.18,-48.85,139.14,23.21,13.39,False
top5_trend_equal,Top-5 positive 10-month trends,12,165,13,72,43.64,64.85,55.15,65.45,64.85,5.89,20.42,12.47,120422.29,-46.76,101.52,23.21,13.39,False
fixed_macro_barbell,Precious / real-assets barbell,12,165,13,71,43.03,58.18,40.61,64.85,58.18,7.21,13.24,6.3,113235.57,-16.02,59.36,23.21,13.39,False
defensive_plus_trend,50% defensive / 50% trend,11,166,15,70,42.17,63.25,50.0,69.28,63.25,5.88,14.91,9.89,114909.86,-27.8,61.24,19.82,11.46,False
core_plus_trend,50% macro core / 50% trend,12,165,13,69,41.82,65.45,50.3,72.12,65.45,7.36,16.66,10.07,116663.93,-26.51,74.62,17.71,9.82,False
top5_trend_equal,Top-5 positive 10-month trends,11,166,15,69,41.57,63.25,51.2,65.06,65.06,6.33,17.08,10.5,117080.89,-43.9,100.11,19.82,11.46,False
top3_rotation,Top-3 resource momentum rotation,11,166,15,69,41.57,59.64,45.18,62.05,60.84,5.48,14.75,8.48,114751.79,-44.75,130.57,19.82,11.46,False
core_plus_trend,50% macro core / 50% trend,11,166,15,67,40.36,59.04,50.0,71.08,60.24,6.7,15.41,9.61,115414.33,-27.14,67.51,19.82,11.46,False
top5_trend_inverse_vol,"Top-5 trends, inverse volatility",10,167,16,67,40.12,61.08,50.9,69.46,64.67,6.34,16.51,10.59,116509.18,-41.71,92.53,18.48,10.69,False
fixed_macro_barbell,Precious / real-assets barbell,11,166,15,65,39.16,52.41,37.95,65.66,56.02,6.63,10.28,4.49,110280.07,-14.93,56.12,19.82,11.46,False
core_plus_trend,50% macro core / 50% trend,10,167,16,65,38.92,57.49,44.91,70.66,61.68,6.23,13.39,8.17,113388.22,-24.89,68.32,18.48,10.69,False
top3_rotation,Top-3 resource momentum rotation,10,167,16,65,38.92,58.68,45.51,61.08,61.08,5.78,13.81,8.16,113813.0,-43.79,153.73,18.48,10.69,False
top5_trend_equal,Top-5 positive 10-month trends,10,167,16,64,38.32,61.08,48.5,65.87,62.28,4.79,15.38,9.3,115380.27,-42.72,104.36,18.48,10.69,False
top5_trend_inverse_vol,"Top-5 trends, inverse volatility",9,168,18,63,37.5,58.93,47.62,66.67,64.88,7.65,14.27,8.67,114265.17,-43.43,96.62,20.3,12.16,False
defensive_plus_trend,50% defensive / 50% trend,10,167,16,62,37.13,59.88,46.71,68.86,61.08,5.83,14.36,8.6,114355.6,-25.72,62.22,18.48,10.69,False
top3_rotation,Top-3 resource momentum rotation,9,168,18,62,36.9,54.17,44.64,58.93,60.71,4.34,12.0,5.79,112002.07,-43.33,159.1,20.3,12.16,False
equal_weight_core,Equal-weight diversified resources,11,166,15,61,36.75,51.81,37.95,66.27,52.41,6.18,10.72,5.63,110719.56,-18.8,62.47,19.82,11.46,False
equal_weight_core,Equal-weight diversified resources,12,165,13,59,35.76,54.55,38.18,65.45,54.55,6.03,12.57,6.11,112569.22,-19.33,65.69,17.71,9.82,False
top5_trend_inverse_vol,"Top-5 trends, inverse volatility",8,169,21,60,35.5,56.21,42.6,66.27,65.09,5.17,12.52,7.58,112524.11,-41.39,88.36,17.19,10.31,False
top3_rotation,Top-3 resource momentum rotation,8,169,21,60,35.5,46.15,39.05,59.76,55.03,4.94,8.42,4.11,108424.06,-42.01,153.46,17.19,10.31,False
core_plus_trend,50% macro core / 50% trend,9,168,18,59,35.12,54.17,41.67,69.64,64.29,5.99,12.37,7.28,112369.23,-26.93,64.04,16.28,9.43,False
top5_trend_equal,Top-5 positive 10-month trends,9,168,18,58,34.52,57.14,47.62,63.69,61.31,5.4,13.12,8.5,113115.52,-44.23,105.61,16.28,9.43,False
top5_trend_equal,Top-5 positive 10-month trends,8,169,21,58,34.32,53.25,41.42,62.72,59.17,4.04,11.06,5.71,111064.24,-42.96,96.49,17.19,10.31,False
equal_weight_core,Equal-weight diversified resources,10,167,16,57,34.13,48.5,35.33,66.47,53.29,5.49,8.87,5.05,108873.69,-17.22,63.87,14.16,7.88,False
top5_trend_inverse_vol,"Top-5 trends, inverse volatility",7,170,24,57,33.53,50.59,41.18,64.71,63.53,4.84,10.02,6.13,110021.17,-41.38,80.15,17.97,11.09,False
top3_rotation,Top-3 resource momentum rotation,7,170,24,57,33.53,45.29,37.06,61.18,55.88,3.69,8.05,4.55,108046.58,-43.43,144.25,17.97,11.09,False
fixed_macro_barbell,Precious / real-assets barbell,10,167,16,54,32.34,46.11,37.72,68.86,52.1,6.07,9.15,3.54,109148.8,-15.0,53.52,14.16,7.88,False
defensive_plus_trend,50% defensive / 50% trend,9,168,18,54,32.14,54.17,42.86,67.86,64.29,5.4,12.39,6.94,112390.37,-27.84,61.72,16.28,9.43,False
