ticker,country,horizon_months,strategy,events,beats_deposit_no_tax_count,beats_deposit_no_tax_pct,beats_deposit_after_tax_count,beats_deposit_after_tax_pct,real_plus_10_no_tax_count,real_plus_10_no_tax_pct,real_plus_10_after_tax_count,real_plus_10_after_tax_pct,median_usd_return_pct,median_rub_return_no_tax_pct,median_rub_return_after_tax_pct,median_real_return_no_tax_pct,median_real_return_after_tax_pct,median_deposit_real_return_pct,median_final_rub_no_tax,median_final_rub_after_tax,median_deposit_final_rub,worst_final_rub_no_tax,worst_final_rub_after_tax,strategy_label,beats_deposit_no_tax_wilson_low_pct,beats_deposit_no_tax_familywise_low_pct,formally_qualified
EWQ,France,2,momentum_composite,25.0,22.0,88.0,21.0,84.0,3.0,12.0,2.0,8.0,2.26,4.8,4.17,4.25,3.67,0.8,104797.0,104173.0,101726.0,97435.0,97435.0,Composite Momentum,70.04,43.44,False
EWP,Spain,5,momentum_rank_365,21.0,18.0,85.71,17.0,80.95,8.0,38.1,7.0,33.33,8.03,10.72,9.33,7.89,6.51,0.94,110721.0,109327.0,104219.0,87404.0,87404.0,Top Relative Momentum 365,65.36,38.08,False
EWU,United Kingdom,7,trend,22.0,18.0,81.82,17.0,77.27,8.0,36.36,6.0,27.27,6.81,10.66,9.28,6.45,5.01,0.89,110663.0,109277.0,105836.0,92107.0,92107.0,SMA 50/200 + Momentum,61.48,35.86,False
EWG,Germany,9,rsi14_recovery,22.0,18.0,81.82,18.0,81.82,8.0,36.36,8.0,36.36,9.58,14.91,12.97,5.01,3.59,1.8,114909.0,112971.0,107507.0,89195.0,89195.0,RSI 14 Recovery,61.48,35.86,False
EWH,Hong Kong,4,rsi28_recovery,26.0,21.0,80.77,21.0,80.77,8.0,30.77,7.0,26.92,8.76,8.08,7.03,6.14,4.72,1.57,108081.0,107031.0,103342.0,74234.0,74234.0,RSI 28 Recovery,62.12,37.98,False
EWN,Netherlands,10,trend,20.0,16.0,80.0,15.0,75.0,12.0,60.0,7.0,35.0,4.65,18.65,16.23,10.84,8.64,1.53,118649.0,116225.0,108356.0,54865.0,54865.0,SMA 50/200 + Momentum,58.4,32.81,False
EWC,Canada,2,bollinger_recovery,25.0,20.0,80.0,20.0,80.0,3.0,12.0,2.0,8.0,3.9,3.71,3.22,2.62,1.8,0.56,103705.0,103224.0,101699.0,82262.0,82262.0,Bollinger Recovery,60.87,36.68,False
EWI,Italy,5,bollinger_recovery,24.0,19.0,79.17,19.0,79.17,8.0,33.33,8.0,33.33,10.64,10.18,8.85,6.12,4.72,0.91,110176.0,108853.0,104164.0,74959.0,74959.0,Bollinger Recovery,59.53,35.31,False
EWL,Switzerland,10,breadth_trend,27.0,21.0,77.78,20.0,74.07,13.0,48.15,11.0,40.74,12.2,15.94,13.87,7.48,5.79,2.19,115937.0,113865.0,108356.0,81829.0,81829.0,Broad-Market Trend,59.24,36.2,False
EWY,South Korea,4,drawdown_recovery_20,24.0,18.0,75.0,17.0,70.83,8.0,33.33,8.0,33.33,10.09,7.52,6.54,5.6,4.64,1.47,107520.0,106542.0,103342.0,69171.0,69171.0,20% Drawdown Recovery,55.1,32.15,False
EWA,Australia,4,rsi28_recovery,24.0,18.0,75.0,17.0,70.83,6.0,25.0,6.0,25.0,6.5,5.64,4.91,2.84,2.35,0.32,105642.0,104908.0,103342.0,84518.0,84518.0,RSI 28 Recovery,55.1,32.15,False
EWZ,Brazil,3,rsi28_recovery,22.0,16.0,72.73,14.0,63.64,9.0,40.91,7.0,31.82,7.68,7.62,6.63,5.81,4.84,1.54,107620.0,106629.0,102493.0,77151.0,77151.0,RSI 28 Recovery,51.85,29.17,False
INDA,India,2,momentum_dual_180_365,32.0,23.0,71.88,23.0,71.88,3.0,9.38,3.0,9.38,1.23,5.08,4.42,3.93,3.27,0.51,105081.0,104420.0,101726.0,67329.0,67329.0,Dual Momentum 180/365,54.63,34.18,False
EWW,Mexico,7,trend_breakout_100,20.0,14.0,70.0,13.0,65.0,8.0,40.0,6.0,30.0,6.95,12.41,10.8,5.72,4.48,1.09,112408.0,110795.0,105836.0,68337.0,68337.0,100-Day Range Breakout,48.1,25.94,False
EWS,Singapore,9,trend,20.0,14.0,70.0,14.0,70.0,9.0,45.0,8.0,40.0,13.55,15.04,13.08,7.78,5.95,1.34,115037.0,113082.0,107507.0,78761.0,78761.0,SMA 50/200 + Momentum,48.1,25.94,False
EWT,Taiwan,8,trend_sma100_200,26.0,18.0,69.23,18.0,69.23,11.0,42.31,9.0,34.62,6.94,14.57,12.67,8.58,6.82,1.59,114567.0,112673.0,106685.0,76403.0,76403.0,SMA 100/200,50.01,29.16,False
MCHI,China,3,trend_price_sma100,32.0,21.0,65.62,21.0,65.62,10.0,31.25,9.0,28.12,6.1,5.08,4.42,4.24,3.48,1.29,105083.0,104422.0,102493.0,83236.0,83236.0,Price above SMA 100,48.31,29.42,False
EWM,Malaysia,7,trend_sma100_200,29.0,19.0,65.52,18.0,62.07,9.0,31.03,6.0,20.69,6.14,9.59,8.34,5.63,4.27,1.06,109592.0,108345.0,105836.0,72377.0,72377.0,SMA 100/200,47.34,28.03,False
EWJ,Japan,1,trend_breakout_100,20.0,13.0,65.0,13.0,65.0,0.0,0.0,0.0,0.0,0.24,2.22,1.93,1.86,1.58,0.31,102222.0,101934.0,100822.0,92353.0,92353.0,100-Day Range Breakout,43.29,22.82,False
EZA,South Africa,9,trend_price_sma100,22.0,14.0,63.64,11.0,50.0,8.0,36.36,6.0,27.27,8.05,12.31,10.71,7.44,5.75,1.66,112307.0,110707.0,107507.0,60740.0,60740.0,Price above SMA 100,42.95,23.19,False
