ticker,country,horizon_months,strategy,events,beats_deposit_no_tax_count,beats_deposit_no_tax_pct,beats_deposit_after_tax_count,beats_deposit_after_tax_pct,real_plus_10_no_tax_count,real_plus_10_no_tax_pct,real_plus_10_after_tax_count,real_plus_10_after_tax_pct,median_usd_return_pct,median_rub_return_no_tax_pct,median_rub_return_after_tax_pct,median_real_return_no_tax_pct,median_real_return_after_tax_pct,median_deposit_real_return_pct,median_final_rub_no_tax,median_final_rub_after_tax,median_deposit_final_rub,worst_final_rub_no_tax,worst_final_rub_after_tax,strategy_label,beats_deposit_no_tax_wilson_low_pct,beats_deposit_no_tax_familywise_low_pct,formally_qualified
EWL,Switzerland,12,buy_hold,28.0,17.0,60.71,15.0,53.57,10.0,35.71,10.0,35.71,11.71,12.79,11.13,4.07,2.1,1.01,112790.0,111127.0,110000.0,69429.0,69429.0,Buy & Hold Benchmark,42.41,24.29,False
EWQ,France,12,buy_hold,28.0,17.0,60.71,16.0,57.14,9.0,32.14,8.0,28.57,10.36,14.01,12.19,3.03,1.48,1.01,114014.0,112192.0,110000.0,58243.0,58243.0,Buy & Hold Benchmark,42.41,24.29,False
EWC,Canada,12,buy_hold,28.0,17.0,60.71,16.0,57.14,12.0,42.86,11.0,39.29,14.28,16.56,14.41,7.43,5.42,1.01,116563.0,114410.0,110000.0,58484.0,58484.0,Buy & Hold Benchmark,42.41,24.29,False
EWN,Netherlands,12,buy_hold,28.0,17.0,60.71,17.0,60.71,10.0,35.71,9.0,32.14,11.19,13.31,11.58,4.44,2.51,1.01,113313.0,111582.0,110000.0,51996.0,51996.0,Buy & Hold Benchmark,42.41,24.29,False
EWA,Australia,12,buy_hold,28.0,16.0,57.14,15.0,53.57,10.0,35.71,8.0,28.57,8.93,14.02,12.2,5.93,3.86,1.01,114020.0,112198.0,110000.0,49445.0,49445.0,Buy & Hold Benchmark,39.07,21.97,False
EWS,Singapore,12,buy_hold,28.0,16.0,57.14,16.0,57.14,9.0,32.14,6.0,21.43,11.12,13.94,12.13,3.17,1.4,1.01,113944.0,112131.0,110000.0,54083.0,54083.0,Buy & Hold Benchmark,39.07,21.97,False
EWP,Spain,12,buy_hold,28.0,16.0,57.14,15.0,53.57,11.0,39.29,10.0,35.71,10.41,13.74,11.96,5.35,3.66,1.01,113743.0,111957.0,110000.0,59699.0,59699.0,Buy & Hold Benchmark,39.07,21.97,False
EWG,Germany,12,buy_hold,28.0,16.0,57.14,16.0,57.14,12.0,42.86,8.0,28.57,11.15,13.92,12.11,1.71,0.16,1.01,113917.0,112108.0,110000.0,54490.0,54490.0,Buy & Hold Benchmark,39.07,21.97,False
EZA,South Africa,12,buy_hold,21.0,12.0,57.14,12.0,57.14,10.0,47.62,10.0,47.62,8.34,12.82,11.15,7.28,5.73,2.38,112820.0,111154.0,110000.0,83038.0,83038.0,Buy & Hold Benchmark,36.55,18.81,False
EWZ,Brazil,12,buy_hold,24.0,13.0,54.17,13.0,54.17,11.0,45.83,11.0,45.83,3.12,17.77,15.46,8.22,6.01,2.08,117769.0,115459.0,110000.0,66263.0,66263.0,Buy & Hold Benchmark,35.07,18.52,False
EWM,Malaysia,12,buy_hold,28.0,15.0,53.57,15.0,53.57,12.0,42.86,9.0,32.14,3.05,14.11,12.27,0.7,0.02,1.01,114107.0,112273.0,110000.0,37714.0,37714.0,Buy & Hold Benchmark,35.81,19.75,False
EWW,Mexico,12,buy_hold,28.0,15.0,53.57,14.0,50.0,12.0,42.86,11.0,39.29,9.53,11.95,10.4,3.58,2.63,1.01,111953.0,110399.0,110000.0,58069.0,58069.0,Buy & Hold Benchmark,35.81,19.75,False
EWI,Italy,12,buy_hold,28.0,14.0,50.0,14.0,50.0,12.0,42.86,9.0,32.14,7.6,10.53,9.16,2.22,0.96,1.01,110525.0,109157.0,110000.0,52704.0,52704.0,Buy & Hold Benchmark,32.63,17.63,False
EWH,Hong Kong,12,buy_hold,28.0,14.0,50.0,13.0,46.43,11.0,39.29,10.0,35.71,10.35,10.23,8.9,-0.51,-1.84,1.01,110225.0,108896.0,110000.0,52819.0,52819.0,Buy & Hold Benchmark,32.63,17.63,False
EWT,Taiwan,12,buy_hold,24.0,12.0,50.0,12.0,50.0,11.0,45.83,10.0,41.67,7.01,10.25,8.92,1.89,0.69,2.08,110249.0,108917.0,110000.0,74175.0,74175.0,Buy & Hold Benchmark,31.43,16.2,False
EWU,United Kingdom,12,buy_hold,28.0,14.0,50.0,14.0,50.0,9.0,32.14,7.0,25.0,8.57,10.68,9.29,3.07,1.28,1.01,110676.0,109288.0,110000.0,56048.0,56048.0,Buy & Hold Benchmark,32.63,17.63,False
EWY,South Korea,12,buy_hold,24.0,12.0,50.0,12.0,50.0,10.0,41.67,9.0,37.5,9.92,11.68,10.16,3.91,2.49,1.48,111676.0,110158.0,110000.0,41110.0,41110.0,Buy & Hold Benchmark,31.43,16.2,False
EWJ,Japan,12,buy_hold,28.0,12.0,42.86,12.0,42.86,10.0,35.71,7.0,25.0,5.71,7.53,6.55,-0.52,-1.12,1.01,107527.0,106549.0,110000.0,70547.0,70547.0,Buy & Hold Benchmark,26.51,13.67,False
