ticker,country,horizon_months,strategy,events,beats_deposit_no_tax_count,beats_deposit_no_tax_pct,beats_deposit_after_tax_count,beats_deposit_after_tax_pct,real_plus_10_no_tax_count,real_plus_10_no_tax_pct,real_plus_10_after_tax_count,real_plus_10_after_tax_pct,median_usd_return_pct,median_rub_return_no_tax_pct,median_rub_return_after_tax_pct,median_real_return_no_tax_pct,median_real_return_after_tax_pct,median_deposit_real_return_pct,median_final_rub_no_tax,median_final_rub_after_tax,median_deposit_final_rub,worst_final_rub_no_tax,worst_final_rub_after_tax,strategy_label,beats_deposit_no_tax_wilson_low_pct,beats_deposit_no_tax_familywise_low_pct,formally_qualified
EWA,Australia,1,buy_hold,264.0,144.0,54.55,140.0,53.03,19.0,7.2,17.0,6.44,1.38,1.22,1.06,0.6,0.44,0.29,101223.0,101064.0,100822.0,74794.0,74794.0,Buy & Hold Benchmark,48.52,40.94,False
EWA,Australia,2,buy_hold,139.0,74.0,53.24,73.0,52.52,21.0,15.11,18.0,12.95,1.31,2.25,1.96,1.19,0.9,0.48,102252.0,101960.0,101726.0,68446.0,68446.0,Buy & Hold Benchmark,44.97,35.05,False
EWA,Australia,3,buy_hold,106.0,60.0,56.6,58.0,54.72,24.0,22.64,17.0,16.04,3.24,3.42,2.98,1.59,1.18,0.79,103420.0,102976.0,102493.0,63493.0,63493.0,Buy & Hold Benchmark,47.1,35.69,False
EWA,Australia,4,buy_hold,77.0,41.0,53.25,39.0,50.65,20.0,25.97,16.0,20.78,4.19,3.96,3.45,1.63,1.34,0.84,103963.0,103448.0,103342.0,73190.0,73190.0,Buy & Hold Benchmark,42.21,29.81,False
EWA,Australia,5,buy_hold,63.0,34.0,53.97,33.0,52.38,13.0,20.63,10.0,15.87,4.67,5.25,4.57,1.51,0.92,0.96,105251.0,104568.0,104219.0,66036.0,66036.0,Buy & Hold Benchmark,41.79,28.42,False
EWA,Australia,6,buy_hold,53.0,31.0,58.49,30.0,56.6,15.0,28.3,13.0,24.53,6.02,6.81,5.92,3.11,2.29,0.64,106808.0,105923.0,105014.0,51632.0,51632.0,Buy & Hold Benchmark,45.09,30.15,False
EWA,Australia,7,buy_hold,46.0,30.0,65.22,26.0,56.52,13.0,28.26,12.0,26.09,6.77,7.67,6.67,3.15,1.96,1.1,107672.0,106674.0,105836.0,52049.0,52049.0,Buy & Hold Benchmark,50.77,33.85,False
EWA,Australia,8,buy_hold,40.0,23.0,57.5,21.0,52.5,9.0,22.5,7.0,17.5,7.29,11.46,9.97,3.95,2.01,0.96,111458.0,109968.0,106712.0,64371.0,64371.0,Buy & Hold Benchmark,42.19,26.23,False
EWA,Australia,9,buy_hold,36.0,21.0,58.33,20.0,55.56,11.0,30.56,9.0,25.0,9.19,9.52,8.29,4.94,3.67,1.48,109523.0,108285.0,107507.0,61501.0,61501.0,Buy & Hold Benchmark,42.2,25.63,False
EWA,Australia,10,buy_hold,32.0,18.0,56.25,16.0,50.0,11.0,34.38,9.0,28.12,7.08,10.18,8.86,6.73,5.21,1.75,110184.0,108860.0,108356.0,71066.0,71066.0,Buy & Hold Benchmark,39.33,22.87,False
EWA,Australia,11,buy_hold,30.0,18.0,60.0,16.0,53.33,9.0,30.0,8.0,26.67,6.81,12.82,11.15,4.49,2.87,1.44,112820.0,111153.0,109205.0,64474.0,64474.0,Buy & Hold Benchmark,42.32,24.64,False
EWA,Australia,12,buy_hold,28.0,16.0,57.14,15.0,53.57,10.0,35.71,8.0,28.57,8.93,14.02,12.2,5.93,3.86,1.01,114020.0,112198.0,110000.0,49445.0,49445.0,Buy & Hold Benchmark,39.07,21.97,False
EWA,Australia,1,trend_price_sma100,175.0,94.0,53.71,91.0,52.0,3.0,1.71,3.0,1.71,1.26,1.12,0.98,0.51,0.41,0.35,101123.0,100977.0,100822.0,74794.0,74794.0,Price above SMA 100,46.33,37.28,False
EWA,Australia,2,trend_price_sma100,105.0,55.0,52.38,54.0,51.43,8.0,7.62,6.0,5.71,0.87,2.16,1.88,1.05,0.67,0.58,102162.0,101881.0,101726.0,68446.0,68446.0,Price above SMA 100,42.91,31.93,False
EWA,Australia,3,trend_price_sma100,80.0,41.0,51.25,40.0,50.0,12.0,15.0,9.0,11.25,2.86,3.0,2.61,1.35,0.99,1.03,102999.0,102609.0,102493.0,51244.0,51244.0,Price above SMA 100,40.49,28.55,False
EWA,Australia,4,trend_price_sma100,63.0,28.0,44.44,28.0,44.44,13.0,20.63,9.0,14.29,1.95,1.64,1.43,-1.09,-1.16,0.81,101642.0,101429.0,103342.0,64487.0,64487.0,Price above SMA 100,32.85,21.27,False
EWA,Australia,5,trend_price_sma100,56.0,28.0,50.0,27.0,48.21,8.0,14.29,7.0,12.5,4.31,4.35,3.78,1.3,0.73,1.13,104346.0,103781.0,104219.0,62381.0,62381.0,Price above SMA 100,37.33,24.25,False
EWA,Australia,6,trend_price_sma100,47.0,22.0,46.81,21.0,44.68,11.0,23.4,11.0,23.4,3.83,4.51,3.92,-0.41,-0.92,1.03,104509.0,103922.0,105014.0,83595.0,83595.0,Price above SMA 100,33.33,20.39,False
EWA,Australia,7,trend_price_sma100,41.0,21.0,51.22,20.0,48.78,10.0,24.39,9.0,21.95,4.05,6.26,5.45,1.65,1.08,1.1,106263.0,105449.0,105836.0,52049.0,52049.0,Price above SMA 100,36.48,22.09,False
EWA,Australia,8,trend_price_sma100,36.0,16.0,44.44,14.0,38.89,6.0,16.67,5.0,13.89,3.62,5.26,4.58,1.78,0.64,0.83,105259.0,104575.0,106699.0,64371.0,64371.0,Price above SMA 100,29.54,16.58,False
EWA,Australia,9,trend_price_sma100,31.0,17.0,54.84,17.0,54.84,10.0,32.26,7.0,22.58,6.41,12.08,10.51,6.35,4.4,1.21,112080.0,110510.0,107507.0,66887.0,66887.0,Price above SMA 100,37.77,21.61,False
EWA,Australia,10,trend_price_sma100,30.0,16.0,53.33,12.0,40.0,8.0,26.67,6.0,20.0,6.89,9.02,7.85,2.06,1.11,1.62,109021.0,107848.0,108356.0,61020.0,61020.0,Price above SMA 100,36.14,20.31,False
EWA,Australia,11,trend_price_sma100,28.0,11.0,39.29,11.0,39.29,9.0,32.14,8.0,28.57,7.56,7.52,6.54,0.02,-0.61,0.52,107519.0,106541.0,109205.0,73629.0,73629.0,Price above SMA 100,23.57,11.84,False
EWA,Australia,12,trend_price_sma100,26.0,13.0,50.0,13.0,50.0,8.0,30.77,6.0,23.08,4.11,11.25,9.79,3.48,2.27,1.0,111251.0,109789.0,110000.0,73172.0,73172.0,Price above SMA 100,32.06,16.94,False
EWA,Australia,1,trend_price_sma200,178.0,93.0,52.25,90.0,50.56,5.0,2.81,5.0,2.81,1.26,1.09,0.95,0.43,0.28,0.34,101094.0,100952.0,100822.0,78110.0,78110.0,Price above SMA 200,44.94,36.07,False
EWA,Australia,2,trend_price_sma200,103.0,53.0,51.46,52.0,50.49,6.0,5.83,4.0,3.88,1.11,2.13,1.85,0.89,0.67,0.61,102131.0,101854.0,101726.0,68446.0,68446.0,Price above SMA 200,41.93,30.98,False
EWA,Australia,3,trend_price_sma200,81.0,41.0,50.62,40.0,49.38,11.0,13.58,9.0,11.11,2.15,2.8,2.44,0.67,0.46,0.93,102799.0,102435.0,102493.0,51244.0,51244.0,Price above SMA 200,39.95,28.15,False
EWA,Australia,4,trend_price_sma200,63.0,30.0,47.62,28.0,44.44,15.0,23.81,10.0,15.87,1.95,3.27,2.84,1.45,0.94,0.91,103265.0,102841.0,103342.0,64487.0,64487.0,Price above SMA 200,35.78,23.58,False
EWA,Australia,5,trend_price_sma200,52.0,24.0,46.15,24.0,46.15,6.0,11.54,6.0,11.54,3.56,3.38,2.94,1.16,0.24,1.0,103381.0,102942.0,104219.0,61203.0,61203.0,Price above SMA 200,33.34,20.84,False
EWA,Australia,6,trend_price_sma200,44.0,24.0,54.55,23.0,52.27,11.0,25.0,10.0,22.73,2.47,6.44,5.6,1.97,1.07,0.9,106442.0,105605.0,105014.0,51632.0,51632.0,Price above SMA 200,40.07,25.15,False
